agree,disagree
allow,disallow
appear,disappear
comfort,discomfort
honest,dishonest
like,dislike
obey,disobey
obedient,disobedient
please,displease
ability,disability
appoint,disappoint
belief,disbelief
believe,disbelieve
colour,discolour
establish,disestablish
connect,disconnect
loyal,disloyal
advantage,disadvantage
order,disorder
satisfied,dissatisfied
use/n,disuse
balance,imbalance
mature,immature
measureable,immeasureable
moral,immoral
movable,immovable
patient,impatient
mortal,immortal
partial,impartial
possible,impossible
pure,impure
polite,impolite
probable,improbable
conduct,misconduct
fortune,misfortune
interpret,misinterpret
lead,mislead
happening,mishappening
use/v,misuse
understand,misunderstand
adventure,misadventure
appropriate,misappropriate
behave,misbehave
calculate,miscalculate
chief,mischief
take,mistake
trust,mistrust
communicate,miscommunicate
complete,incomplete
convenient,inconvenient
credible,incredible
effective,ineffective
efficient,inefficient
formal,informal
visible,invisible
ability,inability
active,inactive
animate,inanimate
attentive,inattentive
definite,indefinite
divisible,indivisible
essential,inessential
expert,inexpert
justice,injustice
sensible,insensible
stability,instability
sufficient,insufficient
valid,invalid
accurate,inaccurate
attended,unattended
authorised,unauthorised
available,unavailable
avoidable,unavoidable
conscious,unconscious
foreseen,unforeseen
forgivable,unforgivable
necessary,unnecessary
available,unavailable
armed,unarmed
kind,unkind
common,uncommon
fit,unfit
fortunate,unfortunate
controlled,uncontrolled
pleasant,unpleasant
popular,unpopular
wise,unwise
social,unsocial
