"Abbreviation ","Meaning ","Primary Applicability[4] ","Normative Reference "
"ACK ","Acknowledgement ","Transport and other layers ","TCP/IP, for example. RFC 793 "
"ACL ","Access control list ","Security, application layer ","Access control list, Cisco overview "
"ADSL ","Asymmetric digital subscriber line ","Telecom ","ITU-T G.992.5 Annex M, for example "
"AES ","Advanced Encryption Standard ","Security ","U.S. FIPS PUB 197 "
"ANSI ","American National Standards Institute ","Organization ","ANSI "
"API ","Application Programming Interface ","Software ","API "
"ARP ","Address Resolution Protocol ","Link layer ","RFC 1122 "
"ATM ","Asynchronous Transfer Mode ","Telecom ","ATM cell description "
"BGP ","Border Gateway Protocol (routing protocol) ","Application layer, Routers ","RFC 4271 "
"BSS ","Basic service set (Wi-Fi) ","Wireless ","IEEE Std 802.11-2007 "
"CAT ","Category (e.g. CAT-5 cable) ","Physical layer ","ANSI/TIA/EIA-568-B.1-2001 "
"CCITT (obs.) ","Standards organization that has been replaced by ITU-T ","Organization ","ITU-T "
"CHAP ","Challenge-Handshake Authentication Protocol (PPP) ","Security, telecom ","RFC 1994 "
"CIDR ","Classless Inter-Domain Routing ","Architecture ","RFC 1518 RFC 1519 "
"CIR ","Committed Information Rate (Frame Relay) ","Telecom ","RFC 1490 RFC 1973 RFC 2427 "
"CLI ","Command line interpreter ","Hardware ","Catalyst 6500 Series Command Reference, 7.6, for example "
"CPE ","Customer premises equipment ","Telecom ","Telecom Glossary "
"CPU ","Central processing Unit ","Microprocessor ","Wikipedia "
"CRC ","Cyclic redundancy check ","Link and other layers ","24 References here. "
"CRC-16-CCITT ","Cyclic redundancy check (X.25, HDLC) ","Link layers ","Reference on CRC page. "
"CRT ","Cathode Ray Tube ","Television set, Computer Monitor ","Cathode ray tube "
"CSMA/CA ","Carrier sense multiple access / collision avoidance ","Wireless ","IEEE Std 802.11 Downloads "
"CSMA/CD ","Carrier sense multiple access / collision detection ","Physical layer ","IEEE Std 802.3TM-2002 "
"CSU/DSU ","Channel service unit / data service unit ","Telecom ","Telecom Glossary "
"CMOS ","Complementary metal-oxide semiconductor ","Utility ","CMOS "
"DAM ","Database activity monitoring ","Security ","Database activity monitoring "
"DAM ","Digital asset management ","Internet Layer ","Digital asset management "
"DCE ","Data communications equipment ","Telecom ","Telecom Glossary "
"DEC (obs.) ","Digital Equipment Corporation ","Organization ","Digital Equipment Corporation formally Purchased by Compaq in 1998. Merged with Hewlett-Packard 2002. "
"DES ","Data Encryption Standard (obs. See AES) ","Security ","Federal Information Processing Standard (FIPS) FIPS-46-3 "
"DHCP ","Dynamic Host Configuration Protocol ","Application layer, Internet Layer ","RFC 2131 and others "
"DIMM ","Dual In-line Memory Module ","Hardware ","https://en.wikipedia.org/wiki/DIMM "
"DNS ","Domain Name System ","Application layer ","Over 30 RFCs here. "
"DRAM ","Dynamic random-access memory ","Hardware ","https://en.wikipedia.org/wiki/Dynamic_random-access_memory "
"DSL ","Digital subscriber line ","Telecom ","Telecom Glossary "
"DSLAM ","Digital subscriber line access multiplexer ","Telecom ","Telecom Glossary (proposed) "
"DTE ","Data Terminal Equipment ","Telecom ","Telecom Glossary "
"DMI ","Desktop Management Interface ","Utility ","Desktop Management Interface "
"EHA ","Ethernet Hardware Address (MAC address) ","Link layer ","IEEE Std 802 IEEE OUI Assignments "
"EIA ","Electronics Industry Alliance ","Organization ","EIA "
"EIGRP ","Enhanced Interior Gateway Routing Protocol ","Internet Layer ","Cisco Doc ID: 16406 "
"EOF ","End Of Frame (HDLC, etc.) ","Link layer ","HDLC framing "
"ESS ","Extended service set (Wi-Fi group) ","Wireless ","IEEE Std 802.11-2007 "
"FCC ","Federal Communications Commission (US) ","Organization ","US FCC "
"FCS ","Frame check sequence (Ethernet) ","Link layer ","Ethernet Frame IEEE Std 802.3 "
"FDDI ","Fiber Distributed Data Interface ","Link layer ","American National Standards Institute X3T9.5 (now X3T12), ISO/IEC 9314-x "
"FTP ","File Transfer Protocol ","Application layer ","RFC 959 and others "
"GBIC ","Gigabit interface converter ","Hardware ","Seagate Specification "
